BatchSize,Layers,LR,MSE,R2
16,1,0.0001,49946212594.92098,-3.5019468401437535
16,1,0.001,49944421010.322586,-3.501785360019107
16,2,0.0001,49946212594.92098,-3.5019468401437535
16,2,0.001,49944421010.322586,-3.501785360019107
16,3,0.0001,49946212594.92098,-3.5019468401437535
16,3,0.001,49944421010.322586,-3.501785360019107
32,1,0.0001,49946212594.92098,-3.5019468401437535
32,1,0.001,49944421010.322586,-3.501785360019107
32,2,0.0001,49946212594.92098,-3.5019468401437535
32,2,0.001,49944421010.322586,-3.501785360019107
32,3,0.0001,49946212594.92098,-3.5019468401437535
32,3,0.001,49944421010.322586,-3.501785360019107
64,1,0.0001,49946212594.92098,-3.5019468401437535
64,1,0.001,49944421010.322586,-3.501785360019107
64,2,0.0001,49946212594.92098,-3.5019468401437535
64,2,0.001,49944421010.322586,-3.501785360019107
64,3,0.0001,49946212594.92098,-3.5019468401437535
64,3,0.001,49944421010.322586,-3.501785360019107
